TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,TEAM_ABBREVIATION,G,WIDE_OPEN_FGA_FREQUENCY,WIDE_OPEN_FGM,WIDE_OPEN_FGA,WIDE_OPEN_FG_PCT,WIDE_OPEN_EFG_PCT,WIDE_OPEN_FG2A_FREQUENCY,WIDE_OPEN_FG2M,WIDE_OPEN_FG2A,WIDE_OPEN_FG2_PCT,WIDE_OPEN_FG3A_FREQUENCY,WIDE_OPEN_FG3M,WIDE_OPEN_FG3A,WIDE_OPEN_FG3_PCT,OPEN_FGA_FREQUENCY,OPEN_FGM,OPEN_FGA,OPEN_FG_PCT,OPEN_EFG_PCT,OPEN_FG2A_FREQUENCY,OPEN_FG2M,OPEN_FG2A,OPEN_FG2_PCT,OPEN_FG3A_FREQUENCY,OPEN_FG3M,OPEN_FG3A,OPEN_FG3_PCT
1610612747,Los Angeles Lakers,82,43,39,0.524,48.5,113.2,35.7,0.727,6.4,4.6,17.0,13.9,15.4,52.8,1,14,14,14,5,12,2,10,26,16,17,19,27,23,LAL,82,0.231,8.66,21.65,0.4,0.559,0.033,1.79,3.07,0.583,0.198,6.87,18.57,0.37,0.284,11.48,26.59,0.432,0.514,0.139,7.09,13.01,0.545,0.145,4.39,13.57,0.323
1610612748,Miami Heat,82,44,38,0.537,48.3,112.8,30.9,0.733,8.0,3.0,15.9,12.0,12.5,46.2,1,11,11,11,18,9,29,4,6,30,10,3,4,2,MIA,82,0.203,7.41,16.9,0.439,0.611,0.029,1.57,2.45,0.642,0.174,5.84,14.45,0.404,0.313,11.54,26.01,0.444,0.556,0.12,5.71,9.98,0.572,0.193,5.83,16.04,0.363
1610612749,Milwaukee Bucks,82,58,24,0.707,48.4,110.9,37.5,0.745,6.4,4.9,16.5,13.4,13.0,49.6,1,1,1,1,12,4,1,2,27,11,13,12,8,13,MIL,82,0.229,8.82,21.33,0.413,0.567,0.043,2.28,4.02,0.567,0.186,6.54,17.3,0.378,0.298,12.48,27.78,0.449,0.527,0.16,8.12,14.9,0.545,0.138,4.35,12.88,0.338
1610612750,Minnesota Timberwolves,82,42,40,0.512,48.4,113.1,32.8,0.703,8.0,5.4,17.7,13.7,14.4,50.8,1,15,15,15,12,10,18,26,5,4,20,17,20,17,MIN,81,0.228,8.54,20.2,0.423,0.588,0.038,1.89,3.41,0.554,0.189,6.65,16.79,0.396,0.282,11.23,24.98,0.45,0.535,0.145,6.98,12.88,0.542,0.136,4.26,12.1,0.352
1610612751,Brooklyn Nets,82,45,37,0.549,48.1,113.5,32.3,0.689,7.1,6.2,16.8,14.6,13.3,50.1,1,9,9,9,29,16,20,29,16,1,15,25,12,15,BKN,82,0.21,7.43,18.48,0.402,0.559,0.033,1.63,2.9,0.563,0.177,5.79,15.57,0.372,0.288,11.32,25.35,0.446,0.545,0.136,6.32,11.96,0.528,0.152,5.0,13.39,0.373
1610612752,New York Knicks,82,47,35,0.573,48.7,114.2,34.0,0.727,6.4,4.1,15.3,13.3,12.7,45.9,1,8,8,8,2,19,8,12,25,23,4,10,5,1,NYK,82,0.227,8.32,20.05,0.415,0.585,0.026,1.48,2.29,0.644,0.201,6.84,17.76,0.385,0.302,11.93,26.66,0.447,0.545,0.133,6.74,11.77,0.573,0.169,5.18,14.89,0.348
1610612753,Orlando Magic,82,34,48,0.415,48.2,113.7,33.1,0.73,7.4,4.7,18.2,13.5,14.4,47.6,1,25,25,25,22,18,14,8,12,15,25,15,19,6,ORL,82,0.244,8.94,21.18,0.422,0.591,0.032,1.78,2.76,0.646,0.212,7.16,18.43,0.388,0.315,11.87,27.4,0.433,0.523,0.14,6.95,12.17,0.571,0.175,4.91,15.23,0.323
1610612754,Indiana Pacers,82,35,47,0.427,48.2,117.1,31.4,0.685,7.7,5.8,18.4,15.4,15.0,53.7,1,23,23,23,25,26,24,30,10,2,26,29,22,27,IND,82,0.197,7.7,17.57,0.438,0.61,0.029,1.66,2.55,0.651,0.168,6.04,15.02,0.402,0.287,11.95,25.66,0.466,0.565,0.131,6.87,11.7,0.587,0.156,5.09,13.96,0.364
1610612755,Philadelphia 76ers,82,54,28,0.659,48.5,112.7,32.2,0.721,7.7,4.7,16.5,12.7,15.5,48.1,1,3,3,3,5,8,22,14,8,13,14,5,28,7,PHI,82,0.226,7.98,19.28,0.414,0.568,0.038,2.01,3.23,0.623,0.188,5.96,16.05,0.372,0.289,10.89,24.67,0.441,0.534,0.132,6.3,11.29,0.558,0.157,4.59,13.38,0.343
1610612756,Phoenix Suns,82,45,37,0.549,48.2,112.3,32.4,0.714,7.1,5.3,16.1,13.9,13.2,48.6,1,9,9,9,22,7,19,21,16,5,11,18,9,8,PHX,82,0.209,7.68,17.94,0.428,0.597,0.03,1.65,2.55,0.646,0.179,6.04,15.39,0.392,0.288,10.74,24.74,0.434,0.52,0.138,6.51,11.84,0.55,0.15,4.23,12.9,0.328
